strategy,family,independence_group,evidence,description,implementation_note,start,end,years,cagr,stress_cagr,annual_vol,excess_shy_sharpe,max_drawdown,ulcer_index,calmar,cvar_5pct_daily,worst_calendar_year,best_calendar_year,max_recovery_days,largest_year_abs_excess_share,annual_turnover,cagr_2007_2012,cagr_2013_2021,rolling_3y_min,rolling_3y_target_share,rolling_5y_min,rolling_5y_target_share,latest_weights,GFC_return,GFC_maxdd,2011_euro_US_downgrade_return,2011_euro_US_downgrade_maxdd,2018_Q4_return,2018_Q4_maxdd,COVID_crash_return,COVID_crash_maxdd,deflated_sharpe_probability,target_gate,selection_score,evidence_rank,selection_status
SPY_60_TLT_40,Fixed allocation,balanced_static,long_rule,"Quarterly rebalanced fixed ETF weights: {'SPY': 0.6, 'TLT': 0.4}",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.10177399214629146,0.10162186209425794,0.10475847634779764,0.7886907881823341,-0.3049769144692205,0.05891238998329318,0.3337104787862981,-0.015684371991498147,-0.11911837777450274,0.2475474591555138,727,0.11561986738273372,0.2761718907455639,0.06733722477181336,0.12532589388287074,-0.013418760489927739,0.5678358702845797,0.05699999994491378,0.585385226370135,"{""SPY"": 0.6167178549864057, ""TLT"": 0.3832821450135944}",-0.29912303001524077,-0.3049769144692187,0.018592788966694362,-0.05715297897278371,-0.09499291230251528,-0.09632642551871162,-0.14049371451984183,-0.17619188312623935,0.9385002246305107,False,0.08293595135889631,4,near_target
QQQ_60_IEF_40,Fixed allocation,balanced_growth,long_rule,"Quarterly rebalanced fixed ETF weights: {'QQQ': 0.6, 'IEF': 0.4}",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.12672542619252702,0.1265870519694765,0.12018580006334267,0.8779749611528569,-0.3054915278508915,0.060714007283527646,0.4148246829757613,-0.018092481274975925,-0.20847445144685306,0.3487257431285695,590,0.14059058167243393,0.2456340232543548,0.08912945462332389,0.1524846617534119,0.027069040423033375,0.7845797485109199,0.0688603307366118,0.8423351866560762,"{""IEF"": 0.37540025976912716, ""QQQ"": 0.6245997402308728}",-0.2859756934481098,-0.30549152785089106,-0.039626064189578813,-0.07365943169860711,-0.12234796825300043,-0.12259412449405127,-0.14245550796039874,-0.15251190224078937,0.9701287858430956,False,0.24656316489484553,4,near_target
SPY_trend_150d,Equity P&L control,pnl_trend,long_rule,Weekly SPY above 150d moving average; otherwise SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.09163730463287312,0.08742111497244198,0.12023992256547393,0.6255647432298803,-0.20894693657623242,0.07957256272343427,0.4385673517612931,-0.019938079745735006,-0.11427570526696618,0.32307727179570356,540,0.1472563091893006,7.735607970438928,0.03907914854799688,0.12811209880406937,-0.001298408041847221,0.36366644606221044,0.012523556851029571,0.21803018268467037,"{""SPY"": 1.0}",-0.10410155361339213,-0.1543168855412116,-0.04054551517342464,-0.0440534260511678,-0.10160750871906588,-0.11083495071799954,-0.0720702783824031,-0.12437189310971453,0.8182571816929167,True,0.1676627156601718,4,pass
QQQ_vol_target_12,Equity P&L control,pnl_vol,long_rule,Weekly unlevered QQQ 63d volatility target 12%; residual SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.1136297147147527,0.11212663097833042,0.1290330020441577,0.7347162942356299,-0.21718698362133437,0.06364006060085035,0.5231884195825758,-0.02012785228284321,-0.15541188942464124,0.32725921837976624,515,0.15441318388683828,2.70112321239532,0.07054572138016169,0.14328487832804626,0.017660784542115726,0.6965585704831238,0.0436472838060602,0.7525814138204925,"{""QQQ"": 0.6221740163187963, ""SHY"": 0.3778259836812038}",-0.19966997918808949,-0.21718698362133415,-0.07968463251782465,-0.10729509036966944,-0.14151026868493433,-0.14296783609101205,-0.18314564680924272,-0.19408568626889022,0.9073852548840149,True,0.33170717754064827,4,pass
SPY_drawdown_medium,Equity P&L control,pnl_drawdown,long_rule,Weekly SPY high-water drawdown exposure ladder (medium); residual SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.08522124589171587,0.08360529469167366,0.11908025246266937,0.5741933103477388,-0.2724136727914316,0.09601227515607222,0.3128376230842272,-0.019052319923523246,-0.15645948792508324,0.32307727179570556,1331,0.15779816366454621,2.979960865050146,0.009306361788494977,0.13892890450803597,-0.05074395520867114,0.40767703507610853,-0.024891043130415236,0.5270055599682287,"{""SPY"": 1.0}",-0.26556139291862124,-0.27241367279143247,-0.09438571896652392,-0.09486965187058505,-0.14094570184687505,-0.14391995583995487,-0.19653866350368043,-0.20036183266616037,0.7623707645679578,False,-0.04031477624914054,4,near_target
all_weather_inverse_vol_63,All weather / risk balance,all_weather_dynamic,long_rule,"Monthly inverse-vol across stock, Treasury, gold, commodity sleeves; 63d risk.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.06323201064828754,0.0627296979728682,0.06523726912713547,0.7341104293791273,-0.11156301269255287,0.03186354352245321,0.5667829249335828,-0.009333759870052838,-0.056588522024892174,0.15680701627277815,585,0.13145524971035094,0.9450960625347854,0.10034931348794895,0.039206336186533575,-0.026501291946819494,0.1783587028457975,0.002599227287505279,0.08141382049245433,"{""DBC"": 0.12042725472840785, ""GLD"": 0.17867560046097486, ""IEF"": 0.36853866448860817, ""SPY"": 0.19296864628776966, ""TLT"": 0.13938983403423946}",0.07716383470586852,-0.11156301269255231,0.03457209679102635,-0.04318617068532615,-0.012173350473868916,-0.03103271009556341,-0.057320301313227295,-0.10876127077411046,0.9089399530002245,False,0.3429025095875966,4,research_only
all_weather_sleeve_trend_200,All weather / risk balance,all_weather_trend,long_rule,Fixed all-weather sleeve budgets; failed 200d trend moves to SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.06952193799557249,0.06777576513229544,0.06612199537088255,0.822815497394087,-0.11487271140846977,0.029603392655933716,0.6052084706903377,-0.009444646203270714,-0.044381521402117485,0.17600505026316338,374,0.11892174914901049,3.266954077447572,0.08134667168451792,0.06171757237088804,0.014453710510603068,0.032759761747187296,0.028563332616725834,0.0,"{""DBC"": 0.07979846255709129, ""IEF"": 0.14725223458107342, ""SHY"": 0.07398737375800044, ""SPY"": 0.31381705249364705, ""TLT"": 0.3851448766101878}",0.15744814136576757,-0.07514477544644194,0.09082033178978621,-0.031226577923779253,-0.062475896056447766,-0.062475896056447766,0.0414233181064787,-0.08334167860890951,0.9537677255013418,False,0.40100880590092236,4,research_only
GTAA_trend_100,Cross-asset tactical,tactical_trend,long_rule,Monthly equal sleeve GTAA; each asset below 100d MA moves to SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.04766750191940594,0.04497834905287723,0.07253341681403414,0.4261862473726076,-0.10669960520135047,0.038028638620507794,0.4467448762294261,-0.01114812507269363,-0.05547325935590308,0.17891254530004064,588,0.20052126677565968,5.138695454981237,0.06742392567204014,0.034711487725088475,-0.02150093629984251,0.03441429516876241,-0.002244357336460334,0.0,"{""SHY"": 0.6131684900071807, ""SPY"": 0.13003754454470468, ""TLT"": 0.11969544114251715, ""VNQ"": 0.1370985243055975}",-0.0041232054712365684,-0.10669960520135102,0.011022616804932328,-0.029690623514727732,-0.03265606680672384,-0.03533937660668973,-0.0019429474757701737,-0.044838696598461625,0.5600604509437929,False,0.17491044151181906,4,research_only
cross_asset_mom_126_top3,Cross-asset tactical,tactical_momentum,long_rule,Monthly top-3 126d cross-asset momentum with 12m SHY hurdle.,ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.10207918996318055,0.09892281328720309,0.12603176864294655,0.692352002151516,-0.22149950106199556,0.07377174485358884,0.4608551688548029,-0.019107532555737963,-0.12106029218269898,0.29199756468406246,727,0.15524583608942624,5.73424207429312,0.13087341573810662,0.08330794391150342,0.0030121250086625473,0.3759099933818663,0.003949507756159543,0.3220810166799047,"{""DBC"": 0.33115927083914554, ""SPY"": 0.32558091644414416, ""VNQ"": 0.3432598127167104}",0.1474120031835875,-0.16433710167914684,0.07221936302906151,-0.04740951260643911,-0.2005830572251659,-0.20436745872033668,-0.06729777418975202,-0.12062234282090833,0.8791151591548012,True,0.20564517645188532,4,pass
GEM_SPY_VEU_AGG,Cross-asset tactical,dual_momentum,long_rule,"Monthly GEM: SPY absolute momentum versus SHY, SPY versus VEU, else AGG.",ETF-only,2008-04-01,2021-12-31,13.75,0.06807001376167632,0.06616862964924652,0.15948700064009588,0.40948898764446134,-0.3887414290029164,0.10321916234026005,0.17510357446662997,-0.025582934047104686,-0.10265560459547696,0.2966039593778198,906,0.17480635266142808,3.5618554359184045,0.048834577504268895,0.07837707498924895,-0.0883034207519996,0.2088560885608856,-0.05488615416629883,0.2633726201269266,"{""SPY"": 1.0}",,,-0.17147224361651858,-0.17312952366465018,-0.189224897430755,-0.19203199715831665,-0.3340034681964832,-0.337172528469891,0.5329028444115324,False,-0.4897391685741413,4,research_only
